Tiempo (µs)
391583
630833
861825
1095614
331859
565544
806571
1045613
285355
524535
760919
989841
1226693
465054
702440
951296
1191773
427061
668920
908081
1144980
379200
614657
852190
1113173
352219
592571
831694
1074612
313902
