Tiempo (µs)
159421
210408
258336
308166
357782
410429
459886
510641
559991
609820
658725
709035
759146
808466
857970
907437
960115
1014074
66286
117443
171997
221466
271684
323603
379452
428615
476408
525807
575977
628366
