Tiempo (µs)
697055
877732
1062118
244327
431574
620025
803459
985295
1167698
350985
534592
736069
918572
1102320
287954
471353
655424
843417
1027556
213783
402815
595645
800572
1008281
197089
399104
594416
792008
1012795
240238
