Tiempo (µs)
950825
957890
960963
964085
967608
970417
972395
974897
977384
979360
982184
985109
987315
989425
992416
994797
997343
1000519
4071
6397
8710
11189
14373
17356
19674
22744
24898
27951
30155
32214
