Tiempo (µs)
166570724
168108859
169618153
172554237
171960758
173401677
173158611
171492649
173861367
178313924
176660915
179220680
177389359
177252273
179350603
164943492
140372059
139516626
136433232
142773883
150550433
145748160
144001700
150254493
116223262
116056750
133625165
137370967
154123045
