Tiempo (µs)
485458
498761
510264
519404
526709
533723
539991
545781
553268
559387
565556
571352
577128
582401
587647
592893
598102
603795
609225
614699
620012
625453
630715
635914
641264
647284
652507
657921
663620
683133
