Tiempo (µs)
27838275
30082084
29810160
31504974
31302470
31234621
31012914
30311009
30861597
31237409
31660133
37431891
35151540
34921456
35490154
35434857
35593044
36073845
34428912
34539565
35400633
35142430
34896943
36234094
36455972
36622100
36387153
35325974
35525245
35391599
