Tiempo (µs)
950897
1003076
55756
109192
161958
226173
280013
334362
387612
441911
493721
548646
600220
653946
706940
761456
813994
867359
921338
975810
1028218
82663
135073
188088
242292
293948
347489
399669
454217
507071
