Tiempo (µs)
7374052
7875330
6906525
6713483
6222947
5687754
7547722
6784944
7748626
6861261
7237734
6585707
7310142
6552336
6628580
7436264
6604954
6780193
7225306
6963762
7859231
6837606
6871364
6824388
6677146
6925682
6998146
5939780
8039738
6278755
