Tiempo (µs)
928596
995519
1064201
132038
204345
273023
340973
407050
476653
543666
609977
681320
747289
813739
880839
950758
1022000
90219
156689
227494
294531
363239
432215
502721
569135
635625
703952
772791
839338
905557
