Tiempo (µs)
599555
629952
660895
690642
721185
751313
782105
813888
845697
876438
906827
937904
968153
998037
1030869
61505
91404
122604
154081
185683
216402
247266
277583
308147
339288
369446
399900
429717
459026
489399
