Tiempo (µs)
2077398
2104670
2226156
3257553
2341998
2747043
3186039
2546798
2950776
3394052
3420852
4152376
2803336
3482007
3387402
2945623
3611319
3499817
3334616
2977002
3741006
3228753
2695347
3089324
2676443
3365863
2800192
3217182
2284800
2286255
