Tiempo (µs)
34923
37550
39728
42757
44882
47156
50141
52872
55018
56785
58384
60999
63037
65786
68711
71679
73839
75335
77142
78760
80403
81917
84085
85676
87880
90235
92157
93668
95665
97304
