Tiempo (µs)
10017
12789
16042
18876
21624
24484
27259
30089
33550
36458
39346
42381
45433
48490
51257
54263
57142
59892
62546
65661
68407
71260
74364
77123
79883
83126
85899
89054
92421
95412
