Tiempo (µs)
47753
68557
92445
113529
134772
156743
178429
200052
223018
244047
265546
287938
309815
331187
353154
375577
396549
417954
439516
462124
483330
505032
526376
548332
569634
590970
613651
634999
656863
678296
