Tiempo (µs)
96757327
92878563
93464291
97778759
108784543
98488557
101004796
103702324
105400551
99157495
99156536
104456303
98190880
111779541
103596468
109304450
95281689
92801546
104246890
95288165
97399501
91168988
97569433
99251510
95404798
97334178
94411377
93724179
95111261
87096488
